Video ID, Number of times played 
mXnJqYwebF8, 429 
jDwVkXVHIqg, 350 
82VtBxeJH3I, 92 
6rrptmFiEhQ, 85 
AEtbFm_CjE0, 70 
RySHDUU2juM, 68 
wrdK57qgNqA, 64 
zMWSxxUmuBo, 64 
dQw4w9WgXcQ, 62 
Piri3TFobLw, 61 
gM4S9lPyUUA, 58 
5SqZJgZ8niA, 53 
2RtI5UEZlzU, 52 
Hy8kmNEo1i8, 48 
AEB6ibtdPZc, 46 
V-XZcgDkO9o, 46 
YIALlhlyqO4, 42 
6Gd87JmkAkE, 42 
FACKOZkzSWE, 42 
Wof0xPUmW38, 41 
kSgMDNe-pT0, 40 
ZZ5LpwO-An4, 40 
jofNR_WkoCE, 40 
c7ZTnJVJUME, 40 
U9t-slLl30E, 39 
oT3mCybbhf0, 39 
wav6nalMRog, 37 
40zv9ACT5EM, 36 
JKUvWE-doNM, 36 
k1BneeJTDcU, 35 
yxW5yuzVi8w, 35 
_Re6pZri8Gw, 35 
pd9jg7MpVac, 35 
KVywF8KXdwI, 34 
yXQViqx6GMY, 33 
waMzdZBhmc8, 33 
3BwzP1laWkQ, 33 
T61Sa9KD5jw, 33 
5G_J-dj98XY, 32 
v_ici9SWJ-Y, 30 
eK3dIEeAThE, 30 
jO36Trj3cC8, 29 
N9zcyGMFGMg, 29 
W3q8Od5qJio, 28 
kfVsfOSbJY0, 27 
fU7hZ3smj0g, 27 
v1zTq3_uiUU, 27 
9_EVz2GBN3E, 26 
4csSO4vqWR4, 25 
CduA0TULnow, 25 
bPAFTL1E3rc, 24 
8qMhoGmyfN8, 24 
c6veG0kfbZE, 23 
ADlGkXAz1D0, 23 
CSvFpBOe8eY, 23 
eBG7P-K-r1Y, 23 
kVHZ6yVOkUE, 23 
pok8H_KF1FA, 23 
w0AOGeqOnFY, 23 
vRXZj0DzXIA, 23 
fcH8RpftRXU, 23 
rOnMZALLQPk, 23 
-705T4FioZE, 23 
Ix2hqdqWIKs, 22 
LIPc1cfS-oQ, 22 
Sp-wwi9j-2U, 22 
M8-vje-bq9c, 22 
B09ILbYUTPE, 22 
XtAhISkoJZc, 22 
K5tVbVu9Mkg, 22 
5vBGOrI6yBk, 22 
6Dedl5cVMv0, 22 
K6BRna4_bmg, 22 
BSz1j_y35ro, 22 
nisx5h_KNm4, 21 
vTIIMJ9tUc8, 21 
dI3xkL7qUAc, 21 
fPO76Jlnz6c, 21 
o0u4M6vppCI, 21 
mRVTin1UHZQ, 21 
Zen_zRmbKaM, 21 
8-rj3gVOAnM, 21 
iEFAscjnNKM, 21 
WeYsTmIzjkw, 20 
-v_2iMNPfP0, 20 
2vjPBrBU-TM, 20 
xat1GVnl8-k, 20 
TLiGA_wrNp0, 20 
ql9-82oV2JE, 20 
A3eldiyhWVc, 20 
s1UBkJBAfOc, 20 
6Q2VIAQmUJM, 20 
p0rXznBDfJM, 20 
LrnyBAfmPDQ, 20 
XwqBwI9XmdE, 19 
C-u5WLJ9Yk4, 19 
ovBZk3WBtqk, 19 
_-PGng_QT2M, 19 
z5rRZdiu1UE, 19 
_lK4cX5xGiQ, 19 
NkRkuI0ZgX0, 19 
StYkb5kbM3o, 19 
jtYOrppgGdg, 19 
gZ3zN959wtQ, 19 
DLF2m10EswI, 18 
I_2D8Eo15wE, 18 
XXlZfc1TrD0, 18 
7DYjfjaZGas, 18 
0OmRrFD8zJk, 18 
iywaBOMvYLI, 18 
MFnaCtZrKVQ, 18 
pzPElFdxMCM, 18 
5XK4v2fgMPU, 18 
mDlnM481Gcg, 18 
JmbKYlKXXeg, 18 
rLJSMn5Mc2U, 18 
opEshfYQHcE, 18 
_CL6n0FJZpk, 17 
yPYZpwSpKmA, 17 
d-diB65scQU, 17 
yM2Y_znsonI, 17 
v4xZUr0BEfE, 17 
ZyhrYis509A, 17 
9EcjWd-O4jI, 17 
JXgV1rXUoME, 17 
Sff7Kc77QAY, 17 
B9FzVhw8_bY, 17 
6fVE8kSM43I, 17 
A-sKPgGDF6M, 17 
aIh1Es0Ttm4, 17 
paEZLHTDZvY, 17 
QZp2biJul1c, 17 
k3Yk6FrjMkQ, 16 
Vn8phH0k5HI, 16 
qeMFqkcPYcg, 16 
1wl5BbUg05M, 16 
Ya5Fv6VTLYM, 16 
8UVNT4wvIGY, 16 
E8gmARGvPlI, 16 
u9Dg-g7t2l4, 16 
dNCWe_6HAM8, 16 
c_89Vfg8quQ, 16 
SSbBvKaM6sk, 16 
m00GvZzRCb4, 16 
TQMBzIJyYSQ, 16 
oM3ykGr6Nj4, 16 
H4wZNjQHboM, 16 
Vtk5LuFUWj8, 16 
AD_TWloJ310, 16 
oPpogGUb0oo, 16 
mwuOAPJyVPo, 16 
d03B3dnkrck, 16 
_hlYtbKprE0, 16 
4lbMT-bGGSs, 16 
RjrA-slMoZ4, 16 
TctLwUA7-f0, 15 
CAyWN9ba9J8, 15 
gJLIiF15wjQ, 15 
FTQbiNvZqaY, 15 
8AHCfZTRGiI, 15 
YVkUvmDQ3HY, 15 
iMUezhpuEoE, 15 
KT85z_tGZro, 15 
16EmCCKsmWQ, 15 
1NV7GlM42Pg, 15 
j9tXMXbSVnw, 15 
g-sgw9bPV4A, 15 
ym0rt69zp_E, 15 
bm6oeRgxs0A, 15 
um2Q9aUecy0, 15 
oJRU1vjx3Ik, 15 
K0HSD_i2DvA, 14 
ibFkJwomL_4, 14 
QDYDRA5JPLE, 14 
SYM-RJwSGQ8, 14 
0sfNAhin1yI, 14 
djV11Xbc914, 14 
PWgvGjAhvIw, 14 
SQNtGoM3FVU, 14 
DtL_giO-EB8, 14 
btPJPFnesV4, 14 
BSzSn-PRdtI, 14 
0EVVKs6DQLo, 14 
Fn6S9NTpPvk, 14 
LOPCPUq9f_g, 14 
UreGzCf6Je0, 14 
-XNFokmDKrE, 14 
lOfZLb33uCg, 14 
ZkW-K5RQdzo, 14 
HyHNuVaZJ-k, 14 
QjL7D33xpS4, 14 
uESXKBkqOvY, 14 
johHLyIUABg, 14 
r9PeYPHdpNo, 14 
-VsmF9m_Nt8, 14 
wXKKlNoNdQY, 13 
tvVeTaxXNVU, 13 
RKW6rjnYEkc, 13 
109WLnpYkqE, 13 
6NXnxTNIWkc, 13 
l_MyUGq7pgs, 13 
ApXoWvfEYVU, 13 
1V_xRb0x9aw, 13 
uT3SBzmDxGk, 13 
Ysf4QRrcLGM, 13 
izGwDsrQ1eQ, 13 
hTWKbfoikeg, 13 
4v3-sDgdMVU, 13 
HMUDVMiITOU, 13 
pxlVlQGE4To, 13 
WIKqgE4BwAY, 13 
dZLfasMPOU4, 13 
QRg_8NNPTD8, 13 
gGdGFtwCNBE, 13 
VfCYZ3pks48, 13 
-RnrVrroIE0, 13 
eEYviw35to0, 13 
mRD0-GxqHVo, 13 
KCzwyFHSMdY, 13 
o2rEFW6YKRM, 13 
bOmWSMJDZho, 13 
R9RHjcM5c6Q, 13 
r-SurvChGFk, 13 
rHMvfpNgMMw, 13 
gKkzdVW0E3o, 13 
O8axbKX1JVo, 13 
FfKWHtNDGKU, 13 
_JZom_gVfuw, 12 
E4Ve-9vt_54, 12 
XEJLuJyxLDE, 12 
IizbzoHGZVE, 12 
EK_LN3XEcnw, 12 
bB2BR41-Nyk, 12 
16y1AkoZkmQ, 12 
FT-QptimxTQ, 12 
5qap5aO4i9A, 12 
aAkMkVFwAoo, 12 
nxg4C365LbQ, 12 
pYdvxBxHX2U, 12 
enYdAxVcNZA, 12 
PGNiXGX2nLU, 12 
qod03PVTLqk, 12 
ymNFyxvIdaM, 12 
J7UwSVsiwzI, 12 
CvI5oy25QO4, 12 
NeQM1c-XCDc, 12 
LH5ay10RTGY, 12 
7iNbnineUCI, 12 
V1LhC1zGouc, 12 
rxZG5PCoa4s, 12 
e4Ao-iNPPUc, 12 
SsKT0s5J8ko, 12 
xPU8OAjjS4k, 12 
q0hyYWKXF0Q, 12 
U7-dxzp6Jvs, 12 
K5KAc5CoCuk, 12 
4QWRg-IS50o, 12 
jM5AYgKpKg0, 12 
NUC2EQvdzmY, 12 
68ugkg9RePc, 12 
pm08v69vG10, 12 
BlcKBKJ8uro, 12 
6FJXjJeOU6Q, 12 
_b3GBjVoxnQ, 12 
vJMP7RBsoms, 12 
NlFEclBv-pw, 12 
9Ko-nEYJ1GE, 12 
29s1yU3nGkQ, 12 
e4JUXB2JTAU, 12 
KuYfOO_d0gw, 12 
jvipPYFebWc, 12 
yENmufztolo, 12 
luZyMQjPTkM, 12 
dwGvhQ-Jhzw, 12 
mzFVKSFKm5o, 12 
Ap22BJfW_Gk, 12 
7aekxC_monc, 12 
c0-hvjV2A5Y, 12 
ulPk9fZe2Sc, 12 
dDPqDgL7Wno, 12 
S2gQrNPWuqA, 11 
0NKUpo_xKyQ, 11 
LH-i8IvYIcg, 11 
IvUU8joBb1Q, 11 
ytN0LP1NSxg, 11 
SDTZ7iX4vTQ, 11 
UbQgXeY_zi4, 11 
4N1iwQxiHrs, 11 
N1w-hDiJ4dM, 11 
-zqU0srcXlc, 11 
otCpCn0l4Wo, 11 
maAFcEU6atk, 11 
AQXVHITd1N4, 11 
8LJsMUkxIWY, 11 
FAFRfVR5MfM, 11 
o1tj2zJ2Wvg, 11 
NGkeLbx_4E4, 11 
PlHGY6vSs8g, 11 
R-FxmoVM7X4, 11 
8j9ZSiWVqZc, 11 
49tpIMDy9BE, 11 
ezoIVSLbEK4, 11 
NL6CDFn2i3I, 11 
zi_2mjo-6JI, 11 
wp43OdtAAkM, 11 
cPAMKCeHKnU, 11 
nrsnN23tmUA, 11 
4qDyv-urblY, 11 
Sj3Nk2iCseM, 11 
eaIvk1cSyG8, 11 
Vnoz5uBEWOA, 11 
pelpK-HEcJM, 11 
l-uApRaHn-k, 11 
-lEgNyJQ2is, 11 
Es1FtUBYneo, 11 
uIn58jYIook, 11 
HyjFcMG7Sg4, 11 
8nBFqZppIF0, 11 
k_T_ThlADuU, 11 
lxyRyphniCQ, 11 
-UV0QGLmYys, 11 
n_FTuCckY34, 11 
KoPlkmYaEQs, 11 
y6120QOlsfU, 10 
2H5uWRjFsGc, 10 
PlBUH8zMZng, 10 
9_gkpYORQLU, 10 
iuFb3cB-LWk, 10 
8_1tInR59DQ, 10 
hC8CH0Z3L54, 10 
HEXWRTEbj1I, 10 
fdixQDPA2h0, 10 
dX3k_QDnzHE, 10 
ewRjZoRtu0Y, 10 
U6n2NcJ7rLc, 10 
lTx3G6h2xyA, 10 
OAEJ3c9pSsE, 10 
fJ9rUzIMcZQ, 10 
zhl-Cs1-sG4, 10 
Lp71Y27ZWeA, 10 
U9T7ficcRtY, 10 
0lBjcaMokvo, 10 
EHC9HE7vazI, 10 
QrR_gm6RqCo, 10 
AXpDTv2ct5o, 10 
Ct6BUPvE2sM, 10 
yModCU1OVHY, 10 
V1bFr2SWP1I, 10 
9jK-NcRmVcw, 10 
NHozn0YXAeE, 10 
8DyziWtkfBw, 10 
yh6DRIATO9c, 10 
AkFqg5wAuFk, 10 
EOuehxUen5U, 10 
cjTugPleGow, 10 
P6mRIALF2Mk, 10 
JhOhGhq0e54, 10 
GVDJ8O3lPBA, 10 
v2AC41dglnM, 10 
rh3JgL4T7w0, 10 
d_NS9Vd1sMA, 10 
llyiQ4I-mcQ, 10 
BS46C2z5lVE, 10 
4txVqr1eNwc, 10 
fD2d6dZHOHg, 10 
6Zbi0XmGtMw, 10 
wEbr5EoSEsc, 10 
u5CVsCnxyXg, 10 
AQhB5NZBk2U, 10 
L_jWHffIx5E, 10 
9sI7WveN7vk, 10 
LOZuxwVk7TU, 10 
HgzGwKwLmgM, 10 
eT3BFzSD6YY, 10 
QfbFzEqJef0, 10 
cfLIlP-GAmg, 10 
5DaVnriHhPc, 10 
kdA0mW-9jRs, 10 
FbJ63spk48s, 10 
_swivbEsD50, 10 
CjaPKab5Ehg, 10 
T5nfV3S7sqI, 10 
CDl9ZMfj6aE, 10 
fRD_3vJagxk, 10 
2BG4e1nbg8c, 10 
9g08kucPQtE, 10 
z6iUOMNSxU0, 10 
3CvLBaGYntk, 10 
fTH71AAxXmM, 10 
ujXBzf6KluU, 10 
9C1flskssaQ, 10 
XpblRr2WSLg, 10 
vK0uCJZ8bmY, 10 
lMu-ntyQJts, 10 
h6psz_tJSEE, 10 
g_jUtiKSf1Y, 10 
OPf0YbXqDm0, 10 
C_yI2959DYU, 10 
WphQffikt-Q, 10 
Z0DO0XyS8Ko, 10 
CBoLzMN0kPQ, 10 
MmicmAW5V1k, 10 
tX0a7voaTHM, 10 
YbplOQoUBwM, 10 
kGL5jkgPGgQ, 10 
YiYm01qX2u4, 10 
megNBZ4ONR8, 10 
e-s0b3cNIl4, 10 
clwETvZxLW0, 10 
k6Jn1NhJYGA, 10 
vJAO4JEu9p4, 9 
5pMgCjosRRE, 9 
wCwNfu2q-N8, 9 
gG_dA32oH44, 9 
znUS2KqPYCw, 9 
RZ-bZKc_KLA, 9 
RNuUgbUzM8U, 9 
oGGCRHRW8cs, 9 
37s9jWOfyhY, 9 
Gs069dndIYk, 9 
G6ruSHJgbPM, 9 
CIwI7Q1YDgs, 9 
Tx9zMFodNtA, 9 
a4eq_6J4Cuo, 9 
CqaAs_3azSs, 9 
UCCyoocDxBA, 9 
1uYWYWPc9HU, 9 
XFkzRNyygfk, 9 
QKzobTCIRDw, 9 
6Gha9xrM10w, 9 
B3VDjhTv0PA, 9 
1plPyJdXKIY, 9 
9Ht5RZpzPqw, 9 
QtXby3twMmI, 9 
TErySTMbFlk, 9 
3qVPNONdF58, 9 
NUTGr5t3MoY, 9 
beINamVRGy4, 9 
7yh9i0PAjck, 9 
ZrEn4KbPM0M, 9 
wHjJ8Vkfgko, 9 
aOQTccep1nU, 9 
V9O94UTDAJQ, 9 
GibiNy4d4gc, 9 
DZiaXEIQgkE, 9 
FGBhQbmPwH8, 9 
KQ6zr6kCPj8, 9 
rog8ou-ZepE, 9 
j5C6X9vOEkU, 9 
gAjR4_CbPpQ, 9 
IslF_EyhMzg, 9 
8mGBaXPlri8, 9 
Sv6dMFF_yts, 9 
yVq2UOqRFRk, 9 
